scorer,,,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,,,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,lake1,img000.png,,,,,747.1187997709883,676.8100296674127,,,107.05217821266854,976.9068391193463,,,,,,,436.5290948836725,494.23364909176075,392.4589340550669,227.71410503305037,,,,,707.2457971165356,355.72742934471444,,,,,,,,,,,,,,,,,,,1307.4394160204026,387.2061156508613,1620.127699994795,412.38906469577887,1137.4545099672096,555.092442616978,1794.309764222141,519.4165981366782,,,,,,,,,,,,,,,1483.7200593348252,708.2887159735595,1834.1827668765936,697.7958205381773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,lake1,img015.png,,,,,,,,,719.8372716389943,966.413943683964,,,237.1640816114089,372.5160620413261,,,520.4722583667308,456.45922552438446,,,751.3159579451412,372.5160620413261,,,,,,,,,,,,,,,,,1871.95719044397,850.9920938947587,1601.2404882111068,506.8251236142195,1829.985608702441,494.23364909176075,1345.213839587779,332.64305938687335,1628.5220163431009,322.1501639514911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,lake1,img025.png,,,,,,,,,507.8807838442721,792.2318794566179,,,184.69960443449753,722.9787695830947,,,512.0779420184249,525.7123353979076,470.1063602768958,403.994748347473,734.5273252485295,387.2061156508613,,,,,,,,,,,,,,,,,,,1513.1001665538956,569.7824962265132,1752.338182480612,523.6137563108311,1334.7209441523967,387.2061156508613,1538.283115598813,364.12174569302033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,lake1,img038.png,,,,,,,302.2200333107791,850.9920938947587,570.8381564565659,863.5835684172175,,,182.601025347421,599.1626034455837,463.8106230156664,557.1910217040545,652.6827408525478,582.373970748972,549.8523655858012,353.62885025763796,828.9633841669702,364.12174569302033,,,,,,,,,,,1592.8461718628012,888.766517462135,,,,,,,1487.9172175089782,590.7682870972778,1691.4793889553946,546.6981262686722,1275.9607297142559,431.276276479467,1513.1001665538956,395.6004319991672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,lake1,img041.png,,,,,,,325.3044032686202,892.9636756362879,625.4012127205538,907.6537292458231,,,310.614349659085,607.5569197938895,474.3035184510488,540.4023890074428,671.5699526362359,573.9796544006662,570.8381564565659,364.12174569302033,797.4846978608232,366.2203247800967,,,900.3150731275698,471.14927913391966,,,,,,,1546.677431947119,932.8366782907407,,,,,,,1435.4527403320667,571.8810753135897,1643.212069952636,513.1208608754489,1313.7351532816322,393.5018529120907,1563.4660646437305,401.8961692603966,1110.1729818352155,496.3322281788372,1769.1268151772238,477.4450163951491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,lake1,img045.png,,,,,,,,,663.17563628793,901.3579919845938,203.58681621818556,557.1910217040545,409.24756675167856,565.5853380523604,501.5850465830427,490.0364909176078,654.7813199396242,498.4308072659137,545.6552074116482,364.12174569302033,791.1889605995939,334.7416384739498,,,,,,,,,,,1506.8044292926663,976.9068391193463,1895.0415604018112,911.8508874199761,1895.0415604018112,441.76917191484927,,,1408.1712122000727,471.14927913391966,1594.9447509498775,429.17769739239054,1213.0033571019621,338.93879664810277,1443.8470566803726,330.544480299797,1093.384349138604,475.3464373080726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
